dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.stm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.59 cpitch.60 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.79 cpitch.84 probability information.content entropy 
8 1 29 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 336 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 1 30 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 348 0 1.0 0.16535434 2.5963671 3.8019457 0.16535434 0.031496063 0.16535434 0.031496063 0.16535434 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.031496063 0.16535434 2.5963671 3.8019457 
8 1 31 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 360 1 0.99999994 0.09417038 3.408583 3.3360612 0.02242152 0.09417038 0.02242152 0.38116586 0.02242152 0.02242152 0.02242152 0.09417038 0.02242152 0.02242152 0.02242152 0.02242152 0.09417038 0.02242152 0.02242152 0.02242152 0.02242152 0.02242152 0.02242152 0.09417038 3.408583 3.3360612 
8 1 32 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 372 1 1.0 0.28301892 1.8210295 3.357677 0.018867929 0.018867929 0.018867929 0.018867929 0.28301892 0.075471714 0.22641511 0.018867929 0.018867929 0.075471714 0.018867929 0.018867929 0.018867929 0.018867929 0.018867929 0.075471714 0.018867929 0.018867929 0.018867929 0.28301892 1.8210295 3.357677 
8 2 1 "2" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 500000 NA NA 12 0 0 1.0 0.05263158 4.2479277 4.2479277 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 0.05263158 4.2479277 4.2479277 
8 2 2 "2" NA 0 0 1 0 NA 0 12 0 NA NA 76 96 4 500000 NA NA 12 12 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 2 3 "2" NA 0 0 1 0 NA 0 12 0 NA NA 77 96 4 500000 NA NA 12 24 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 2 4 "2" NA 0 0 1 0 NA 0 12 0 NA NA 74 96 4 500000 NA NA 12 36 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 2 5 "2" NA 0 0 1 0 NA 0 12 0 NA NA 72 96 4 500000 NA NA 12 48 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
8 2 6 "2" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 60 0 1.0 0.05263157 4.2479277 4.2479267 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 0.05263157 4.2479277 4.2479267 
