dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpcint-cpitch-class cpitch.order.stm.cpcint-cpitch-class cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpcint-cpitch-class cpitch.weight.stm.cpcint-cpitch-class cpitch.probability cpitch.information.content cpitch.entropy cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.87 cpitch.88 cpitch.89 cpitch.90 cpitch.91 cpitch.93 probability information.content entropy 
8 1 21 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 240 4 0 0.77348995 0.22651006 1.0 1.0 0.009420963 6.7299094 4.0864816 0.0013410029 0.008019348 0.0014922363 0.0067828363 0.0010218504 0.0053875227 0.106180854 0.0076343333 0.22806582 0.009420963 0.04047624 0.042977694 0.015315999 0.052964527 6.7050155e-4 0.04567975 9.702118e-4 0.0017819037 0.010722395 5.109252e-4 0.001038474 5.109252e-4 0.04047624 0.042977694 0.015315999 0.052964527 6.7050155e-4 0.04567975 9.702118e-4 0.0017819037 0.010722395 5.109252e-4 0.001038474 5.109252e-4 0.04047624 0.042977694 0.015315999 0.052964527 0.04567975 0.009420963 6.7299094 4.0864816 
8 1 22 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 252 2 1 0.8227211 0.1772789 0.99999994 1.0 0.1545616 2.693746 3.8574798 0.0020618578 0.0015045766 0.0020618578 0.0015045766 0.005840977 0.024442486 0.0045124725 0.110638686 0.022417596 0.023761332 0.1545616 0.015263732 0.052539844 6.8728585e-4 0.0049466304 5.015255e-4 0.0037588172 0.03057216 7.522882e-4 7.522882e-4 7.522882e-4 0.023761332 0.1545616 0.015263732 0.052539844 6.8728585e-4 0.0049466304 5.015255e-4 0.0037588172 0.03057216 7.522882e-4 7.522882e-4 7.522882e-4 0.023761332 0.1545616 0.015263732 0.052539844 6.8728585e-4 5.015255e-4 0.1545616 2.693746 3.8574798 
8 1 23 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 264 3 1 0.7304741 0.26952586 0.99999994 1.0 0.057562623 4.118724 4.1903105 0.0011521343 0.01195488 0.0012744713 0.0050291563 8.913028e-4 0.0042842496 0.04153241 0.0159945 0.14913097 0.033188406 0.044516537 0.014572339 0.094835185 0.057562623 5.7606713e-4 0.024700427 5.7606713e-4 0.0012620207 0.009560404 4.4565147e-4 6.3723564e-4 4.4565147e-4 0.044516537 0.014572339 0.094835185 0.057562623 5.7606713e-4 0.024700427 5.7606713e-4 0.0012620207 0.009560404 4.4565147e-4 6.3723564e-4 4.4565147e-4 0.044516537 0.014572339 0.094835185 0.057562623 0.024700427 0.057562623 4.118724 4.1903105 
8 1 24 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 276 3 1 0.82698053 0.17301942 0.99999994 0.99999994 0.0677267 3.8841314 3.4866629 0.2581699 0.03334409 4.568172e-4 0.0016175954 4.568172e-4 0.007641937 0.013143864 6.033752e-4 0.024301408 5.3115806e-4 0.0677267 0.07494414 0.2581699 0.03334409 0.001647645 0.02440616 9.362959e-4 0.008758888 0.020033907 2.2840861e-4 0.004476051 3.0168763e-4 0.004695387 0.00140557 3.369114e-4 0.03334409 0.001647645 0.02440616 9.362959e-4 0.008758888 0.020033907 2.2840861e-4 0.004476051 3.0168763e-4 0.004695387 0.00140557 3.369114e-4 0.03334409 0.02440616 0.0677267 3.8841314 3.4866629 
8 1 25 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 288 2 1 0.59782034 0.40217963 1.0 1.0 0.0934834 3.4191458 4.109619 0.0032650998 0.013007834 0.00354621 0.013222183 0.0026464458 0.009565085 0.0934834 0.01252247 0.27331772 0.039468747 0.034564268 0.029739143 0.016687913 0.059887506 0.00163255 0.013472228 0.002172147 0.0034749217 0.024235435 0.001323223 0.0022893478 0.001323223 0.034564268 0.029739143 0.016687913 0.059887506 0.00163255 0.013472228 0.002172147 0.0034749217 0.024235435 0.001323223 0.0022893478 0.001323223 0.034564268 0.029739143 0.016687913 0.059887506 0.013472228 0.0934834 3.4191458 4.109619 
8 1 26 "1" NA 0 0 1 0 NA 0 12 0 NA NA 59 96 4 500000 NA NA 12 300 3 0 0.674747 0.32525307 1.0 1.0 0.17628975 2.5039794 4.2005386 0.003303346 0.10654517 0.001623081 0.069862545 0.010979484 0.17628975 0.04833507 0.003089685 0.049710922 9.583192e-4 0.060399782 0.010555716 0.002125912 0.02006939 8.115405e-4 0.012952755 8.115405e-4 0.001778929 0.04833507 0.003089685 0.049710922 9.583192e-4 0.060399782 0.010555716 0.002125912 0.02006939 8.115405e-4 0.012952755 8.115405e-4 0.001778929 0.04833507 0.003089685 0.049710922 9.583192e-4 0.060399782 0.010555716 0.002125912 0.02006939 0.012952755 0.17628975 2.5039794 4.2005386 
8 1 27 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 312 4 1 0.6737853 0.32621458 1.0 1.0 0.05179499 4.271044 3.8095067 0.010767016 0.06695714 0.022065375 0.36363667 0.042845026 0.032451503 0.05179499 0.007895176 0.03691984 0.002842918 0.009507606 0.006436026 0.002616876 0.00848062 0.0023509664 0.0027148651 0.0020227856 0.032451503 0.05179499 0.007895176 0.03691984 0.002842918 0.009507606 0.006436026 0.002616876 0.00848062 0.0023509664 0.0027148651 0.0020227856 0.032451503 0.05179499 0.007895176 0.03691984 0.002842918 0.009507606 0.006436026 0.002616876 0.00848062 0.0027148651 0.05179499 4.271044 3.8095067 
8 1 28 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 324 4 0 0.7532658 0.24673419 1.0 1.0 0.06667098 3.9067974 4.0158234 0.0042956965 0.09191318 0.0015017567 0.078434154 0.013125657 0.21682197 0.050504833 0.0027004106 0.06667098 0.0011774825 0.044280708 0.010472339 7.794107e-4 0.013877873 7.508785e-4 0.00590576 7.508785e-4 8.972257e-4 0.050504833 0.0027004106 0.06667098 0.0011774825 0.044280708 0.010472339 7.794107e-4 0.013877873 7.508785e-4 0.00590576 7.508785e-4 8.972257e-4 0.050504833 0.0027004106 0.06667098 0.0011774825 0.044280708 0.010472339 7.794107e-4 0.013877873 0.00590576 0.06667098 3.9067974 4.0158234 
8 1 29 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 336 5 0 0.69149625 0.30850372 1.0 1.0 0.3121785 1.679557 3.8700712 0.004566449 0.043599628 0.006171723 0.021782188 0.0058493773 0.073699094 0.3121785 0.014229774 0.047350783 0.0036122955 0.0707886 0.009070202 0.004627806 0.020776628 0.0010681226 0.0055131014 0.0011882683 0.009416261 0.0036117104 0.0010681226 0.047350783 0.0036122955 0.0707886 0.009070202 0.004627806 0.020776628 0.0010681226 0.0055131014 0.0011882683 0.009416261 0.0036117104 0.0010681226 0.047350783 0.0036122955 0.0707886 0.009070202 0.004627806 0.020776628 0.0055131014 0.3121785 1.679557 3.8700712 
8 1 30 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 348 5 1 0.5986829 0.40131712 1.0 0.99999994 0.03792637 4.720655 3.7027671 0.005159258 0.07961884 0.0027463972 0.05568593 0.019131022 0.3504162 0.03644209 0.0034003702 0.056752797 0.0015203496 0.03792637 0.0063868193 0.0013015755 0.009885636 0.0013731986 0.005912419 0.0013731986 0.0015819601 0.03644209 0.0034003702 0.056752797 0.0015203496 0.03792637 0.0063868193 0.0013015755 0.009885636 0.0013731986 0.005912419 0.0013731986 0.0015819601 0.03644209 0.0034003702 0.056752797 0.0015203496 0.03792637 0.0063868193 0.0013015755 0.009885636 0.005912419 0.03792637 4.720655 3.7027671 
8 1 31 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 360 5 1 0.6589351 0.3410648 1.0 1.0 0.083615735 3.5800817 3.876773 0.0017100874 0.019661784 0.0018730658 0.023181712 0.0013566196 0.005591528 0.11628873 0.0042371573 0.25293815 0.023601018 0.04185645 0.029172163 0.013174503 0.083615735 8.550437e-4 0.0074027963 8.550437e-4 0.0017347047 0.006209654 6.783098e-4 9.365329e-4 6.783098e-4 0.04185645 0.029172163 0.013174503 0.083615735 8.550437e-4 0.0074027963 8.550437e-4 0.0017347047 0.006209654 6.783098e-4 9.365329e-4 6.783098e-4 0.04185645 0.029172163 0.013174503 0.083615735 0.0074027963 0.083615735 3.5800817 3.876773 
8 1 32 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 372 5 1 0.57921404 0.42078593 1.0 1.0 0.32142487 1.6374465 3.8426688 0.06636258 0.025247214 0.0017957534 0.0043536494 0.0017957534 0.018613549 0.02041051 0.0021821575 0.035575762 0.001995766 0.32142487 0.11121121 0.06636258 0.025247214 0.0035831302 0.038202126 0.0024118482 0.011882389 0.022550248 8.9787686e-4 0.007215336 0.001091079 0.012143884 0.0032057334 0.0011788158 0.025247214 0.0035831302 0.038202126 0.0024118482 0.011882389 0.022550248 8.9787686e-4 0.007215336 0.001091079 0.012143884 0.0032057334 0.0011788158 0.025247214 0.038202126 0.32142487 1.6374465 3.8426688 
8 2 1 "2" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 500000 NA NA 12 0 0 0 0.5 0.5 1.0 1.0 0.025641028 5.2854023 5.285403 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 5.2854023 5.285403 
