dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpitch cpitch.order.stm.cpint-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 probability information.content entropy 
8 1 11 "1" NA 0 0 1 0 NA 0 12 0 NA NA 74 96 4 500000 NA NA 12 120 3 0 0.98536277 0.014637202 1.0 1.0 0.2910734 1.780545 2.5930457 2.0256644e-4 2.0256644e-4 2.0256644e-4 2.0256644e-4 2.0256644e-4 2.0256644e-4 2.0256644e-4 4.0104345e-4 0.0049262927 3.0205178e-4 0.003781987 2.0256644e-4 0.0032079772 0.13566567 0.0010866601 0.2910734 0.0036864143 0.19150867 0.23483562 0.02879265 0.079468325 3.0205178e-4 0.014262101 4.0104345e-4 0.0010866601 0.003590805 0.2910734 1.780545 2.5930457 
8 1 12 "1" NA 0 0 1 0 NA 0 12 0 NA NA 72 96 4 500000 NA NA 12 132 4 0 0.9982682 0.0017317891 0.99999994 1.0 0.5958751 0.74691814 1.8993155 5.4884174e-5 5.4884174e-5 5.4884174e-5 3.1966044e-4 5.4884174e-5 7.7945864e-5 7.7945864e-5 2.8515916e-4 0.025394907 5.4884174e-5 0.004823976 2.8515916e-4 0.029790338 0.5958751 0.003415804 0.09514397 0.0012038738 0.1955053 0.013170594 0.0017887786 0.02591302 5.4884174e-5 0.0044577015 5.4884174e-5 0.0011350327 9.5141976e-4 0.5958751 0.74691814 1.8993155 
8 1 13 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 144 5 0 0.9786511 0.02134894 1.0 1.0 0.21915857 2.1899529 2.7482724 2.0909344e-4 4.8751055e-4 2.0909344e-4 4.2212266e-4 2.0909344e-4 0.0023390453 5.627219e-4 5.627219e-4 0.088187836 2.0909344e-4 0.049587857 0.009210531 0.21915857 0.30110762 0.0012517736 0.1793299 4.925321e-4 0.08794372 0.011070379 4.2212266e-4 0.035035893 2.0909344e-4 0.008024942 2.0909344e-4 2.8047344e-4 0.0032672856 0.21915857 2.1899529 2.7482724 
8 1 14 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 156 4 0 0.9944902 0.0055097737 1.0 1.0 0.3909553 1.3549244 2.2472713 1.9097854e-4 1.5578781e-4 1.9097854e-4 0.0017213048 1.5578781e-4 4.0152043e-4 1.5578781e-4 6.812906e-4 0.036402702 0.0011533663 0.3909553 0.0015173777 0.08197262 0.35112038 0.0015521453 0.066601425 4.7154247e-4 0.03663109 0.0065559987 0.0011721161 0.013984834 2.2613314e-4 0.004239681 1.5578781e-4 0.0014432075 1.9097854e-4 0.3909553 1.3549244 2.2472713 
8 1 15 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 168 5 0 0.97262895 0.02737107 1.0 1.0 0.5042683 0.9877366 2.3648925 2.2751745e-4 0.0019968692 4.573361e-4 0.0077622165 3.0463593e-4 0.0040480597 0.0015729229 0.014502035 0.5042683 0.014067432 0.14807497 0.0023982076 0.16006386 0.02452259 3.0463593e-4 0.054957576 2.2751745e-4 0.03835899 0.0073383134 6.0858665e-4 0.0029563077 2.2751745e-4 0.010071039 2.2751745e-4 2.2751745e-4 2.2751745e-4 0.5042683 0.9877366 2.3648925 
8 1 16 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 180 6 1 0.6304831 0.3695169 1.0 1.0 0.031601377 4.9838686 3.56686 0.013059655 0.005864408 0.002897686 0.038425915 0.002897686 0.042101435 0.031601377 0.188721 0.13506396 0.0046414114 0.1795007 0.010853458 0.053313885 0.075708896 0.0024730768 0.037977125 0.002897686 0.111419946 0.017858123 0.0024730768 0.026278654 0.0024730768 0.0036537598 0.0024730768 0.002897686 0.0024730768 0.031601377 4.9838686 3.56686 
8 1 17 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 192 5 0 0.99960554 3.944623e-4 1.0 1.0 0.7119718 0.49010795 1.5350288 2.8741098e-4 2.8741098e-4 2.8741098e-4 0.026217837 2.8741098e-4 0.7119718 0.093193315 0.011020711 0.10241109 2.8741098e-4 0.0072000683 0.0012638695 2.8741098e-4 0.039217725 2.8741098e-4 7.7570556e-4 2.8741098e-4 2.8741098e-4 2.8741098e-4 2.8741098e-4 2.8741098e-4 2.8741098e-4 0.0012638695 2.8741098e-4 2.8741098e-4 2.8741098e-4 0.7119718 0.49010795 1.5350288 
8 1 18 "1" NA 0 0 1 0 NA 0 12 0 NA NA 72 96 4 500000 NA NA 12 204 6 0 0.914571 0.085429005 1.0 1.0 0.02810076 5.153247 2.9531991 0.0023070166 0.018921096 0.0069757365 0.2505803 0.0021845768 0.10547247 0.051726352 0.07434101 0.21154372 0.0034743475 0.19635645 7.5331307e-4 0.003759972 0.02810076 7.5331307e-4 0.032686695 7.5331307e-4 0.0032827156 7.5331307e-4 7.5331307e-4 7.5331307e-4 7.5331307e-4 7.5331307e-4 7.5331307e-4 7.5331307e-4 7.5331307e-4 0.02810076 5.153247 2.9531991 
8 1 19 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 216 3 0 0.93327194 0.0667281 1.0 1.0 0.17380188 2.5244844 2.7353556 2.5776387e-4 3.4108193e-4 2.5776387e-4 5.037011e-4 2.5776387e-4 0.014065903 6.625804e-4 6.625804e-4 0.17380188 2.5776387e-4 0.09394104 0.0035773402 0.24333717 0.2159692 0.0012007358 0.18315612 5.835288e-4 0.03934927 0.0062394426 5.037011e-4 0.012690373 2.5776387e-4 0.005295489 2.5776387e-4 3.4108193e-4 0.0022311385 0.17380188 2.5244844 2.7353556 
8 1 20 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 228 3 0 0.95665646 0.043343533 1.0 0.99999994 0.40641207 1.2989849 2.807434 0.0018647208 0.05074584 2.8129425e-4 0.009563704 2.8129425e-4 0.40641207 0.01008538 0.025748612 0.117259696 5.749187e-4 0.15734676 0.004598908 0.066989906 0.08486867 2.2118064e-4 0.01630432 0.0012558759 0.029425528 0.006012521 2.2118064e-4 0.008592961 2.2118064e-4 3.998892e-4 2.2118064e-4 2.8129425e-4 2.2118064e-4 0.40641207 1.2989849 2.807434 
8 1 21 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 240 3 0 0.94612426 0.053875726 1.0 1.0 0.001856252 9.073392 2.8077374 0.0021544448 0.041166488 0.012931389 0.16576642 0.001856252 0.08970167 0.02792955 0.078875564 0.23864657 0.0011803473 0.29764408 6.7684666e-4 0.004381607 0.021016764 6.7684666e-4 0.0029855832 6.7684666e-4 0.0063176723 6.7684666e-4 6.7684666e-4 6.7684666e-4 6.7684666e-4 6.7684666e-4 6.7684666e-4 6.7684666e-4 6.7684666e-4 0.001856252 9.073392 2.8077374 
8 1 22 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 252 1 1 0.84373254 0.15626745 0.99999994 1.0 0.35510814 1.4936696 3.2653022 0.010329812 0.010329812 0.010329812 0.09689816 0.09689816 0.35510814 0.010329812 0.19131058 0.010329812 0.010329812 0.010329812 0.010329812 0.042858485 0.010329812 0.010329812 0.010329812 0.010329812 0.010329812 0.010329812 0.010329812 0.010329812 0.010329812 0.010329812 0.010329812 0.010329812 0.010329812 0.35510814 1.4936696 3.2653022 
8 1 23 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 264 2 1 0.9805805 0.019419443 0.99999994 1.0 0.54741627 0.86928976 1.9750903 0.0014094977 0.009030646 0.0046162233 0.096761845 0.0014637797 0.041940168 0.012467132 0.24619234 0.54741627 7.5547805e-4 0.01805173 4.2452838e-4 0.0023796281 0.00937843 4.2452838e-4 0.0014094977 4.2452838e-4 0.0020573249 4.2452838e-4 4.2452838e-4 4.2452838e-4 4.2452838e-4 4.2452838e-4 4.2452838e-4 4.2452838e-4 4.2452838e-4 0.54741627 0.86928976 1.9750903 
8 1 24 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 276 2 1 0.8740099 0.12599006 1.0 1.0 0.07242449 3.7873785 2.8198376 0.0038687638 0.007555491 6.872037e-4 0.02898449 6.872037e-4 0.07242449 0.043214463 0.41446525 0.14715526 0.0013204177 0.09683306 0.002025503 0.028454563 0.10441299 5.516863e-4 0.012688758 6.872037e-4 0.018783886 0.004891018 5.516863e-4 0.006466703 5.516863e-4 9.4768853e-4 5.516863e-4 6.872037e-4 5.516863e-4 0.07242449 3.7873785 2.8198376 
8 1 25 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 288 2 1 0.7725916 0.2274085 0.99999994 1.0 0.043576572 4.5203037 3.3200252 0.0061289407 0.043576572 0.024794111 0.24409011 0.016012603 0.12330431 0.05377933 0.12489538 0.19386503 0.0037496495 0.05362098 0.0023810542 0.01067104 0.053868342 0.0023810542 0.007701201 0.0023810542 0.013751232 0.0023810542 0.0023810542 0.0023810542 0.0023810542 0.0023810542 0.0023810542 0.0023810542 0.0023810542 0.043576572 4.5203037 3.3200252 
8 1 26 "1" NA 0 0 1 0 NA 0 12 0 NA NA 59 96 4 500000 NA NA 12 300 3 0 0.9928777 0.0071222135 1.0 1.0 0.13217524 2.919476 1.9360567 0.13217524 0.033289865 0.0010138856 0.14059821 0.0010138856 0.58605826 3.406166e-4 3.406166e-4 0.041660607 3.406166e-4 0.054716412 3.406166e-4 3.406166e-4 0.0036833375 3.406166e-4 3.406166e-4 3.406166e-4 3.406166e-4 3.406166e-4 3.406166e-4 3.406166e-4 3.406166e-4 3.406166e-4 3.406166e-4 3.406166e-4 3.406166e-4 0.13217524 2.919476 1.9360567 
8 1 27 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 312 2 0 0.99936557 6.344676e-4 1.0 1.0 0.66709065 0.58404523 1.6434435 0.083882496 0.66709065 0.007958656 0.15754776 0.002654735 0.013701847 4.4295922e-4 0.0030968883 0.050787162 4.4295922e-4 4.4295922e-4 4.4295922e-4 0.0057491045 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 4.4295922e-4 0.66709065 0.58404523 1.6434435 
8 1 28 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 324 3 0 0.9619068 0.03809326 1.0 1.0 0.23088555 2.1147501 2.566258 0.27330413 0.11622447 0.002846843 0.23088555 0.002846843 0.084556654 9.895037e-4 9.895037e-4 0.23942553 9.895037e-4 0.02043761 9.895037e-4 9.895037e-4 0.012651059 9.895037e-4 9.895037e-4 9.895037e-4 9.895037e-4 9.895037e-4 9.895037e-4 9.895037e-4 9.895037e-4 9.895037e-4 9.895037e-4 9.895037e-4 9.895037e-4 0.23088555 2.1147501 2.566258 
8 1 29 "1" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 336 3 0 0.9841178 0.015882215 1.0 1.0 0.047335677 4.4009285 2.6279855 0.20466103 0.047335677 0.008703874 0.2604019 6.3347677e-4 0.2858125 0.0033573427 0.018239306 0.09514094 3.5523233e-4 0.01082481 6.3347677e-4 0.053274028 0.0041650333 3.5523233e-4 0.0022753084 3.5523233e-4 6.3347677e-4 3.5523233e-4 3.5523233e-4 3.5523233e-4 3.5523233e-4 3.5523233e-4 3.5523233e-4 3.5523233e-4 3.5523233e-4 0.047335677 4.4009285 2.6279855 
