"sub","age","sex","yomt","somt","prof","style","trial_No","trial_idx","mel","resp","resp_rt","conf","conf_rt","cond","deviance","dev","acc"
4,25,"m","1","6",1,5,46,0,"1a",2,1.01854,5,0.729415,"atonal","std",2,1
4,25,"m","1","6",1,5,47,1,"1a",2,1.38823,4,1.5008,"atonal","dev",1,0
5,29,"m","0","0",1,1,0,33,"3a",2,13.199,5,4.443,"tonal","dev",1,0
5,29,"m","0","0",1,1,1,21,"6a",2,20.605,3,5.074,"atonal","dev",1,0
5,29,"m","0","0",1,1,2,39,"4b",2,2.721,6,4.167,"tonal","dev",1,0
5,29,"m","0","0",1,1,3,46,"6b",2,4.084,6,1.792,"tonal","std",2,1
5,29,"m","0","0",1,1,4,5,"2a",2,4.886,3,4.536,"atonal","dev",1,0
5,29,"m","0","0",1,1,5,43,"5b",2,3.452,4,3.035,"tonal","dev",1,0
5,29,"m","0","0",1,1,6,6,"2b",2,2.509,3,4.018,"atonal","std",2,1
5,29,"m","0","0",1,1,7,13,"4a",2,2.637,4,2.185,"atonal","dev",1,0
5,29,"m","0","0",1,1,8,9,"3a",2,5.238,3,3.643,"atonal","dev",1,0
5,29,"m","0","0",1,1,9,0,"1a",2,5.484,5,2.505,"atonal","std",2,1
5,29,"m","0","0",1,1,10,47,"6b",1,1.408,6,2.151,"tonal","dev",1,1
5,29,"m","0","0",1,1,11,4,"2a",2,1.991,5,1.826,"atonal","std",2,1
5,29,"m","0","0",1,1,12,28,"2a",2,1.852,7,1.904,"tonal","std",2,1
5,29,"m","0","0",1,1,13,18,"5b",2,1.701,5,1.427,"atonal","std",2,1
5,29,"m","0","0",1,1,14,41,"5a",1,4.724,2,1.67,"tonal","dev",1,1
5,29,"m","0","0",1,1,15,17,"5a",2,2.522,5,1.606,"atonal","dev",1,0
5,29,"m","0","0",1,1,16,25,"1a",1,7.934,2,1.607,"tonal","dev",1,1
5,29,"m","0","0",1,1,17,11,"3b",2,4.79,3,3.15,"atonal","dev",1,0
5,29,"m","0","0",1,1,18,8,"3a",2,6.484,2,2.253,"atonal","std",2,1
5,29,"m","0","0",1,1,19,2,"1b",2,6.4,5,1.91,"atonal","std",2,1
5,29,"m","0","0",1,1,20,23,"6b",2,2.319,6,3.884,"atonal","dev",1,0
5,29,"m","0","0",1,1,21,45,"6a",2,1.925,6,1.724,"tonal","dev",1,0
