dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.stm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.60 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 probability information.content entropy 
28 1 32 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 372 2 1.0 0.27240145 1.8761936 3.061186 0.071684584 0.057347666 0.043010753 0.27240145 0.09677418 0.20430107 0.057347666 0.028673833 0.09677418 0.028673833 0.043010753 0.27240145 1.8761936 3.061186 
28 2 1 "2" NA 0 0 1 0 NA 0 0 0 NA NA 67 96 4 500000 NA NA 12 0 0 1.0 0.090909086 3.4594316 3.4594312 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 0.090909086 3.4594316 3.4594312 
28 2 2 "2" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 12 0 1.0 0.06060606 4.044394 2.9805846 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 0.3939394 0.06060606 0.06060606 0.06060606 0.06060606 0.06060606 4.044394 2.9805846 
28 2 3 "2" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 24 0 1.0 0.05660377 4.142958 3.1051767 0.05660377 0.05660377 0.05660377 0.245283 0.05660377 0.05660377 0.245283 0.05660377 0.05660377 0.05660377 0.05660377 0.05660377 4.142958 3.1051767 
28 2 4 "2" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 36 0 1.0 0.056338027 4.149747 3.2157023 0.056338027 0.056338027 0.056338027 0.1830986 0.1830986 0.056338027 0.1830986 0.056338027 0.056338027 0.056338027 0.056338027 0.056338027 4.149747 3.2157023 
28 2 5 "2" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 48 0 1.0 0.057471268 4.121015 3.2970777 0.057471268 0.14942528 0.057471268 0.14942528 0.14942528 0.057471268 0.14942528 0.057471268 0.057471268 0.057471268 0.057471268 0.057471268 4.121015 3.2970777 
28 2 6 "2" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 60 0 1.0 0.12871288 2.9577718 3.3553681 0.12871288 0.12871288 0.05940594 0.12871288 0.12871288 0.05940594 0.12871288 0.05940594 0.05940594 0.05940594 0.05940594 0.12871288 2.9577718 3.3553681 
28 2 7 "2" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 72 1 1.0 0.09558823 3.3870232 3.0171704 0.09558823 0.09558823 0.04411765 0.35294116 0.09558823 0.04411765 0.09558823 0.04411765 0.04411765 0.04411765 0.04411765 0.09558823 3.3870232 3.0171704 
28 2 8 "2" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 84 1 1.0 0.09090907 3.4594321 2.9497514 0.14393936 0.09090907 0.037878785 0.09090907 0.09090907 0.037878785 0.35606056 0.037878785 0.037878785 0.037878785 0.037878785 0.09090907 3.4594321 2.9497514 
28 2 9 "2" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 96 1 1.0 0.08835342 3.5005703 2.8164434 0.39759037 0.14457832 0.032128513 0.08835342 0.08835342 0.032128513 0.08835342 0.032128513 0.032128513 0.032128513 0.032128513 0.08835342 3.5005703 2.8164434 
