dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpitch cpitch.order.stm.cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 probability information.content entropy 
29 1 11 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 120 3 0 0.9915552 0.008444837 1.0 1.0 0.013433847 6.2179837 1.8332871 0.028363694 0.028165502 0.01378283 0.017534226 0.003581167 7.480148e-4 0.009719322 0.013433847 0.13446829 0.041831326 0.664732 0.043639835 0.013433847 6.2179837 1.8332871 
29 1 12 "1" NA 0 0 1 0 NA 0 12 0 NA NA 61 96 4 500000 NA NA 12 132 2 0 0.8018823 0.19811764 1.0 1.0 0.0031309975 8.319162 3.046721 0.102279045 0.0031309975 0.09497935 0.0034117168 0.11423514 0.102681234 0.10882367 0.23341666 0.011026476 0.1442101 0.0059479005 0.075857766 0.0031309975 8.319162 3.046721 
29 1 13 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 144 2 0 0.9881947 0.011805245 1.0 1.0 0.0648944 3.9457622 1.936874 0.010930811 0.66472757 0.03649431 0.04506965 0.007438868 0.011975563 0.06421215 0.005334627 0.020992119 0.008837585 0.05909238 0.0648944 0.0648944 3.9457622 1.936874 
29 1 14 "1" NA 0 0 1 0 NA 0 12 0 NA NA 63 96 4 500000 NA NA 12 156 2 1 0.92248535 0.0775147 1.0 1.0 0.017976841 5.7977166 2.6382024 0.049749706 0.0415498 0.030308671 0.017976841 0.012590137 0.0016901178 0.02878305 0.03127524 0.11290077 0.09856569 0.45064998 0.12395993 0.017976841 5.7977166 2.6382024 
29 1 15 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 168 3 1 0.9417985 0.058201555 1.0 1.0 0.05731777 4.1248736 2.4966786 0.009194275 0.46851537 0.029996904 0.18258348 0.06829223 0.05731777 0.08220406 0.009418506 0.053116564 0.005126297 0.011112665 0.023121767 0.05731777 4.1248736 2.4966786 
29 1 16 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 180 2 1 0.96809953 0.031900488 1.0 1.0 0.0046589766 7.745771 2.2481942 0.0020682367 0.022206213 0.028122827 0.12113559 0.047899555 0.09829674 0.55970824 0.04883729 0.029841304 0.0046589766 0.035590284 0.0016347672 0.0046589766 7.745771 2.2481942 
29 1 17 "1" NA 0 0 1 0 NA 0 12 0 NA NA 64 96 4 500000 NA NA 12 192 2 1 0.91509676 0.08490325 1.0 1.0 0.035764746 4.805318 2.646473 0.047978327 0.0035927806 0.08161498 0.003825891 0.035764746 0.046933856 0.03663541 0.38765445 0.0113059115 0.18595962 0.009443407 0.14929065 0.035764746 4.805318 2.646473 
29 1 18 "1" NA 0 0 1 0 NA 0 12 0 NA NA 62 96 4 500000 NA NA 12 204 3 1 0.9283554 0.07164464 1.0 1.0 0.20828761 2.263351 2.5388763 0.070873596 0.003605712 0.20828761 0.0052897097 0.14976695 0.094412945 0.05116042 0.3739429 0.0018946464 0.030006707 0.0015821528 0.009176689 0.20828761 2.263351 2.5388763 
29 1 19 "1" NA 0 0 1 0 NA 0 12 0 NA NA 70 96 4 500000 NA NA 12 216 3 1 0.9280446 0.0719554 1.0 1.0 0.0016507747 9.2426405 2.5304213 0.3586385 0.018524047 0.19799222 0.0031648239 0.20376204 0.026539385 0.014207879 0.08704568 7.77762e-4 0.02298178 0.0016507747 0.06471509 0.0016507747 9.2426405 2.5304213 
29 1 20 "1" NA 0 0 1 0 NA 0 12 0 NA NA 68 96 4 500000 NA NA 12 228 3 1 0.96665657 0.03334348 1.0 1.0 0.08369428 3.578727 2.2389264 0.15432712 0.02839424 0.003482424 0.008794918 0.0022999316 0.033603612 0.02805925 0.0036068277 0.08369428 0.044819396 0.54540277 0.06351526 0.08369428 3.578727 2.2389264 
