dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.stm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 probability information.content entropy 
29 1 28 "1" NA 0 0 1 0 NA 0 12 0 NA NA 67 96 4 500000 NA NA 12 324 1 1.0 0.056603774 4.1429577 3.461129 0.06792453 0.056603774 0.079245284 0.079245284 0.16603772 0.06792453 0.06792453 0.056603774 0.06792453 0.06792453 0.16603772 0.056603774 0.056603774 4.1429577 3.461129 
29 1 29 "1" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 336 1 1.0 0.06578947 3.9259996 3.4221957 0.06578947 0.2368421 0.07894736 0.07894736 0.07894736 0.06578947 0.06578947 0.06578947 0.06578947 0.06578947 0.07894736 0.05263158 0.06578947 3.9259996 3.4221957 
29 1 30 "1" NA 0 0 1 0 NA 0 12 0 NA NA 61 96 4 500000 NA NA 12 348 1 1.0 0.050209206 4.315904 3.4368773 0.06276151 0.050209206 0.07531381 0.07531381 0.1799163 0.16736402 0.06276151 0.06276151 0.06276151 0.07531381 0.07531381 0.050209206 0.050209206 4.315904 3.4368773 
29 1 31 "1" NA 0 0 1 0 NA 0 12 0 NA NA 65 96 4 500000 NA NA 12 360 1 1.0 0.060150366 4.0552826 3.373919 0.060150366 0.060150366 0.07518796 0.07518796 0.07518796 0.060150366 0.060150366 0.060150366 0.060150366 0.07518796 0.07518796 0.2631579 0.060150366 4.0552826 3.373919 
29 1 32 "1" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 372 1 0.99999994 0.0430622 4.537434 3.3829823 0.057416268 0.057416268 0.07177033 0.19138755 0.07177033 0.07177033 0.057416268 0.057416268 0.057416268 0.19138755 0.07177033 0.0430622 0.0430622 4.537434 3.3829823 
29 2 1 "2" NA 0 0 1 0 NA 0 0 0 NA NA 62 96 4 500000 NA NA 12 0 0 1.0 0.083333336 3.5849626 3.5849621 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 0.083333336 3.5849626 3.5849621 
29 2 2 "2" NA 0 0 1 0 NA 0 12 0 NA NA 70 96 4 500000 NA NA 12 12 0 1.0 0.055555537 4.169925 3.0781753 0.055555537 0.055555537 0.3888888 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 0.055555537 4.169925 3.0781753 
29 2 3 "2" NA 0 0 1 0 NA 0 12 0 NA NA 69 96 4 500000 NA NA 12 24 0 1.0 0.051724143 4.2730184 3.2001398 0.051724143 0.051724143 0.24137932 0.051724143 0.051724143 0.051724143 0.051724143 0.051724143 0.051724143 0.051724143 0.24137932 0.051724143 0.051724143 4.2730184 3.2001398 
29 2 4 "2" NA 0 0 1 0 NA 0 12 0 NA NA 61 96 4 500000 NA NA 12 36 0 1.0 0.05128205 4.2854023 3.3122113 0.05128205 0.05128205 0.17948718 0.05128205 0.05128205 0.05128205 0.05128205 0.05128205 0.05128205 0.17948718 0.17948718 0.05128205 0.05128205 4.2854023 3.3122113 
29 2 5 "2" NA 0 0 1 0 NA 0 12 0 NA NA 60 96 4 500000 NA NA 12 48 0 1.0 0.052083336 4.2630343 3.3965352 0.052083336 0.14583333 0.14583333 0.052083336 0.052083336 0.052083336 0.052083336 0.052083336 0.052083336 0.14583333 0.14583333 0.052083336 0.052083336 4.2630343 3.3965352 
29 2 6 "2" NA 0 0 1 0 NA 0 12 0 NA NA 71 96 4 500000 NA NA 12 60 0 1.0 0.053571425 4.2223926 3.4583974 0.125 0.125 0.125 0.053571425 0.053571425 0.053571425 0.053571425 0.053571425 0.053571425 0.125 0.125 0.053571425 0.053571425 4.2223926 3.4583974 
